study	pk	tissue	allowed_users	measurement_type	substance	unit	time	time_unit	access	raw_pk	pharmacokinetics	interventions	figure	group_count	group_name	group_pk	mean	value	individual_pk	individual_name	se	cv	sd	min	max	median
Heizmann1983	652	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	634	[{'pk': 15618}, {'pk': 15617}, {'pk': 15616}, {'pk': 15615}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '3.67e-04', '2.80e-04', '1.97e-04', '1.77e-04', '1.29e-04', '1.02e-04', '6.70e-05', '4.90e-05', '2.90e-05', '2.50e-05', '1.40e-05', '1.10e-05', '1.30e-05']	2239.0	ESch						
Heizmann1983	651	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	633	[{'pk': 15614}, {'pk': 15613}, {'pk': 15612}, {'pk': 15611}, {'pk': 15610}, {'pk': 15609}, {'pk': 15608}, {'pk': 15607}, {'pk': 15606}, {'pk': 15605}, {'pk': 15604}, {'pk': 15603}, {'pk': 15602}, {'pk': 15601}, {'pk': 15600}, {'pk': 15599}]	652	/media/data/Heizmann1983_Tab1.png					['4.25e-04', '3.72e-04', '3.21e-04', '2.64e-04', '2.06e-04', '1.87e-04', '1.42e-04', '1.15e-04', '6.30e-05', '4.80e-05', '3.40e-05', '2.90e-05', '1.60e-05', '1.50e-05', '1.10e-05']	2239.0	ESch						
Heizmann1983	650	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	632	[{'pk': 15598}, {'pk': 15597}, {'pk': 15596}, {'pk': 15595}]	658	/media/data/Heizmann1983_Tab1.png					[None, None, '9.53e-04', '4.50e-04', '2.85e-04', '2.59e-04', '2.09e-04', '1.65e-04', '1.05e-04', '8.70e-05', '4.20e-05', '3.40e-05', '1.90e-05', '1.00e-05', '1.00e-05']	2238.0	ChB						
Heizmann1983	649	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	631	[{'pk': 15594}, {'pk': 15593}, {'pk': 15592}, {'pk': 15591}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '3.37e-04', '1.90e-04', '1.35e-04', '1.09e-04', '8.10e-05', '7.80e-05', '5.00e-05', '4.00e-05', '2.50e-05', '1.80e-05', '9.00e-06', '6.00e-06', '4.00e-06']	2238.0	ChB						
Heizmann1983	648	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	630	[{'pk': 15590}, {'pk': 15589}, {'pk': 15588}, {'pk': 15587}, {'pk': 15586}, {'pk': 15585}, {'pk': 15584}, {'pk': 15583}, {'pk': 15582}, {'pk': 15581}, {'pk': 15580}, {'pk': 15579}, {'pk': 15578}, {'pk': 15577}, {'pk': 15576}, {'pk': 15575}]	652	/media/data/Heizmann1983_Tab1.png					['3.05e-04', '2.67e-04', '2.54e-04', '2.33e-04', '1.77e-04', '1.62e-04', '1.24e-04', '1.04e-04', '5.30e-05', '4.70e-05', '3.40e-05', '2.70e-05', '1.30e-05', '7.00e-06', '5.00e-06']	2238.0	ChB						
Heizmann1983	647	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	629	[{'pk': 15574}, {'pk': 15573}, {'pk': 15572}, {'pk': 15571}]	657	/media/data/Heizmann1983_Tab1.png					[None, None, '3.68e-04', '1.63e-04', '1.04e-04', '9.80e-05', '5.70e-05', '4.20e-05', '2.50e-05', '1.60e-05', '9.00e-06', '7.00e-06', '4.00e-06', None, None]	2237.0	Ast						
Heizmann1983	646	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	628	[{'pk': 15570}, {'pk': 15569}, {'pk': 15568}, {'pk': 15567}]	656	/media/data/Heizmann1983_Tab1.png					[None, None, '1.42e-04', '7.50e-05', '5.30e-05', '4.50e-05', '2.60e-05', '1.90e-05', '1.30e-05', '8.00e-06', '6.00e-06', '5.00e-06', None, None, None]	2237.0	Ast						
Heizmann1983	645	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	midazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	627	[{'pk': 15566}, {'pk': 15565}, {'pk': 15564}, {'pk': 15563}]	652	/media/data/Heizmann1983_Tab1.png					['3.14e-04', '2.33e-04', '1.83e-04', '1.83e-04', '1.38e-04', '1.07e-04', '6.90e-05', '5.60e-05', '3.70e-05', '2.30e-05', '1.80e-05', '1.40e-05', '8.00e-06', '5.00e-06', None]	2237.0	Ast						
Heizmann1983	698	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	680	[{'pk': 15742}, {'pk': 15741}, {'pk': 15740}, {'pk': 15739}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '3.10e-05', '1.82e-04', '9.20e-05', '6.80e-05', '4.70e-05', '3.90e-05', '2.60e-05', '1.60e-05', '1.00e-05', '6.00e-06', None, None, None]	2234.0	RH						
Heizmann1983	697	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	679	[{'pk': 15738}, {'pk': 15737}, {'pk': 15736}, {'pk': 15735}]	656	/media/data/Heizmann1983_Tab2.png					[None, None, '1.90e-05', '6.10e-05', '4.00e-05', '2.70e-05', '2.20e-05', '1.20e-05', '1.10e-05', '6.00e-06', '4.00e-06', '3.00e-06', None, None, None]	2234.0	RH						
Heizmann1983	696	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	678	[{'pk': 15734}, {'pk': 15733}, {'pk': 15732}, {'pk': 15731}]	652	/media/data/Heizmann1983_Tab2.png					['6.00e-06', '2.30e-05', '2.20e-05', '2.20e-05', '1.90e-05', '1.80e-05', '1.50e-05', '1.20e-05', '7.00e-06', '5.00e-06', '4.00e-06', None, None, None, None]	2234.0	RH						
Heizmann1983	695	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	677	[{'pk': 15730}, {'pk': 15729}, {'pk': 15728}, {'pk': 15727}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '3.70e-05', '7.00e-05', '4.40e-05', '4.10e-05', '3.50e-05', '2.90e-05', '2.20e-05', '1.70e-05', '1.30e-05', '8.00e-06', '4.00e-06', '3.00e-06', None]	2236.0	OA						
Heizmann1983	694	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	676	[{'pk': 15726}, {'pk': 15725}, {'pk': 15724}, {'pk': 15723}]	656	/media/data/Heizmann1983_Tab2.png					[None, None, '6.00e-05', '5.50e-05', '4.40e-05', '3.80e-05', '2.60e-05', '2.00e-05', '1.00e-05', '6.50e-06', '4.50e-06', None, None, None, None]	2236.0	OA						
Heizmann1983	693	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	675	[{'pk': 15722}, {'pk': 15721}, {'pk': 15720}, {'pk': 15719}]	652	/media/data/Heizmann1983_Tab2.png					['6.00e-06', '1.70e-05', '2.00e-05', '1.80e-05', '1.60e-05', '1.70e-05', '1.70e-05', '1.60e-05', '1.20e-05', '9.00e-06', '6.00e-06', '5.00e-06', '3.50e-06', None, None]	2236.0	OA						
Heizmann1983	692	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	674	[{'pk': 15718}, {'pk': 15717}, {'pk': 15716}, {'pk': 15715}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '3.20e-05', '9.30e-05', '5.20e-05', '4.60e-05', '4.50e-05', '4.20e-05', '2.50e-05', None, '8.00e-06', '5.00e-06', '3.00e-06', None, None]	2235.0	KM						
Heizmann1983	691	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	673	[{'pk': 15714}, {'pk': 15713}, {'pk': 15712}, {'pk': 15711}]	656	/media/data/Heizmann1983_Tab2.png					[None, None, '6.80e-05', '5.80e-05', '3.60e-05', '2.40e-05', '1.70e-05', '1.40e-05', '1.20e-05', '6.00e-06', '4.00e-06', '3.00e-06', None, None, None]	2235.0	KM						
Heizmann1983	690	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	672	[{'pk': 15710}, {'pk': 15709}, {'pk': 15708}, {'pk': 15707}]	652	/media/data/Heizmann1983_Tab2.png					['9.00e-06', '2.40e-05', '2.90e-05', '2.20e-05', '1.80e-05', '1.50e-05', '1.20e-05', '9.00e-06', '7.00e-06', '6.00e-06', '5.00e-06', '3.00e-06', None, None, None]	2235.0	KM						
Heizmann1983	689	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	671	[{'pk': 15706}, {'pk': 15705}, {'pk': 15704}, {'pk': 15703}]	658	/media/data/Heizmann1983_Tab2.png					[None, None, '3.56e-04', '1.80e-04', '1.36e-04', '1.09e-04', '9.00e-05', '6.60e-05', '1.40e-05', '2.80e-05', '1.80e-05', '1.50e-05', '9.00e-06', '7.00e-06', '3.00e-06']	2239.0	ESch						
Heizmann1983	688	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	670	[{'pk': 15702}, {'pk': 15701}, {'pk': 15700}, {'pk': 15699}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '1.25e-04', '1.14e-04', '7.70e-05', '6.90e-05', '4.90e-05', '3.60e-05', '2.00e-05', '1.30e-05', '9.00e-06', '7.00e-06', '4.00e-06', None, None]	2239.0	ESch						
Heizmann1983	687	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	669	[{'pk': 15698}, {'pk': 15697}, {'pk': 15696}, {'pk': 15695}]	652	/media/data/Heizmann1983_Tab2.png					['9.00e-06', '2.00e-05', '2.70e-05', '2.50e-05', '2.40e-05', '2.20e-05', '1.90e-05', '1.80e-05', '1.00e-05', '7.00e-06', '5.00e-06', '4.00e-06', '3.00e-06', None, None]	2239.0	ESch						
Heizmann1983	686	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	668	[{'pk': 15694}, {'pk': 15693}, {'pk': 15692}, {'pk': 15691}]	658	/media/data/Heizmann1983_Tab2.png					[None, None, '4.07e-04', '2.36e-04', '1.28e-04', '1.09e-04', '8.80e-05', '6.80e-05', '4.10e-05', '3.20e-05', '1.40e-05', '1.10e-05', '9.00e-06', '7.00e-06', '3.00e-06']	2238.0	ChB						
Heizmann1983	685	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	667	[{'pk': 15690}, {'pk': 15689}, {'pk': 15688}, {'pk': 15687}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '1.36e-04', '8.80e-05', '5.90e-05', '4.00e-05', '3.10e-05', '2.40e-05', '1.50e-05', '1.20e-05', '6.00e-06', '5.00e-06', None, None, None]	2238.0	ChB						
Heizmann1983	684	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	666	[{'pk': 15686}, {'pk': 15685}, {'pk': 15684}, {'pk': 15683}]	652	/media/data/Heizmann1983_Tab2.png					['6.00e-06', '1.40e-05', '1.60e-05', '1.50e-05', '1.30e-05', '1.20e-05', '1.20e-05', '1.10e-05', '7.00e-06', '6.00e-06', '3.00e-06', '3.00e-06', None, None, None]	2238.0	ChB						
Heizmann1983	683	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	665	[{'pk': 15682}, {'pk': 15681}, {'pk': 15680}, {'pk': 15679}]	657	/media/data/Heizmann1983_Tab2.png					[None, None, '2.49e-04', '1.85e-04', '1.06e-04', '1.01e-04', '6.20e-05', '4.50e-05', '2.50e-05', '1.70e-05', '8.00e-06', '8.00e-06', None, None, None]	2237.0	Ast						
Heizmann1983	682	plasma	[{'username': 'janekg'}, {'username': 'yduport'}, {'username': 'mkoenig'}]	concentration	1-hydroxymidazolam	gram / liter	['8.33e-02', '1.67e-01', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']	hr	public	664	[{'pk': 15678}, {'pk': 15677}, {'pk': 15676}, {'pk': 15675}]	656	/media/data/Heizmann1983_Tab2.png					[None, None, '8.00e-05', '5.90e-05', '4.00e-05', '3.70e-05', '2.10e-05', '1.60e-05', '1.00e-05', '6.00e-06', '4.00e-06', '3.00e-06', None, None, None]	2237.0	Ast						
