	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	outputs_calculated_count	timecourses_count	results_count
41	Ochs1984	antipyrine, isoniazide, paracetamol	J B	J B, M K	4	31	[{'count': 31, 'name': 'all'}, {'count': 11, 'name': 'INH study'}, {'count': 10, 'name': 'OC study on OC'}, {'count': 10, 'name': 'OC study control'}]	123	['individual123', 'individual122', 'individual121', 'individual120', 'individual119', 'individual118', 'individual117', 'individual116', 'individual115', 'individual114', 'individual113', 'individual112', 'individual111', 'individual110', 'individual109', 'individual108', 'individual107', 'individual106', 'individual105', 'individual104', 'individual103', 'individual102', 'individual101', 'individual100', 'individual99', 'individual98', 'individual97', 'individual96', 'individual95', 'individual94', 'individual93', 'individual92', 'individual91', 'individual90', 'individual89', 'individual88', 'individual87', 'individual86', 'individual85', 'individual84', 'individual83', 'individual82', 'individual81', 'individual80', 'individual79', 'individual78', 'individual77', 'individual76', 'individual75', 'individual74', 'individual73', 'individual72', 'individual71', 'individual70', 'individual69', 'individual68', 'individual67', 'individual66', 'individual65', 'individual64', 'individual63', 'individual62', 'individual61', 'individual60', 'individual59', 'individual58', 'individual57', 'individual56', 'individual55', 'individual54', 'individual53', 'individual52', 'individual51', 'individual50', 'individual49', 'individual48', 'individual47', 'individual46', 'individual45', 'individual44', 'individual43', 'individual42', 'individual41', 'individual40', 'individual39', 'individual38', 'individual37', 'individual36', 'individual35', 'individual34', 'individual33', 'individual32', 'individual31', 'individual30', 'individual29', 'individual28', 'individual27', 'individual26', 'individual25', 'individual24', 'individual23', 'individual22', 'individual21', 'individual20', 'individual19', 'individual18', 'individual17', 'individual16', 'individual15', 'individual14', 'individual13', 'individual12', 'individual11', 'individual10', 'individual9', 'individual8', 'individual7', 'individual6', 'individual5', 'individual4', 'individual3', 'individual2', 'individual1']	3	185	16	2	187
84	McGilveray1972	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	3	8	[{'count': 8, 'name': 'all'}, {'count': 4, 'name': 'food study'}, {'count': 4, 'name': 'sleep study'}]	8	['H', 'G', 'F', 'E', 'D', 'C', 'B', 'A']	5	150	80	36	186
35	Kulo2014	paracetamol	J B	M K, J B	5	73	[{'count': 73, 'name': 'all'}, {'count': 36, 'name': 'at delivery'}, {'count': 37, 'name': 'not pregnant'}, {'count': 20, 'name': 'on OC'}, {'count': 17, 'name': 'not on OC'}]	146	['individual73', 'individual72', 'individual71', 'individual70', 'individual69', 'individual68', 'individual67', 'individual66', 'individual65', 'individual64', 'individual63', 'individual62', 'individual61', 'individual60', 'individual59', 'individual58', 'individual57', 'individual56', 'individual55', 'individual54', 'individual53', 'individual52', 'individual51', 'individual50', 'individual49', 'individual48', 'individual47', 'individual46', 'individual45', 'individual44', 'individual43', 'individual42', 'individual41', 'individual40', 'individual39', 'individual38', 'individual37', 'individual36', 'individual35', 'individual34', 'individual33', 'individual32', 'individual31', 'individual30', 'individual29', 'individual28', 'individual27', 'individual26', 'individual25', 'individual24', 'individual23', 'individual22', 'individual21', 'individual20', 'individual19', 'individual18', 'individual17', 'individual16', 'individual15', 'individual14', 'individual13', 'individual12', 'individual11', 'individual10', 'individual9', 'individual8', 'individual7', 'individual6', 'individual5', 'individual4', 'individual3', 'individual2', 'individual1', 'individual146', 'individual145', 'individual144', 'individual143', 'individual142', 'individual141', 'individual140', 'individual139', 'individual138', 'individual137', 'individual136', 'individual135', 'individual134', 'individual133', 'individual132', 'individual131', 'individual130', 'individual129', 'individual128', 'individual127', 'individual126', 'individual125', 'individual124', 'individual123', 'individual122', 'individual121', 'individual120', 'individual119', 'individual118', 'individual117', 'individual116', 'individual115', 'individual114', 'individual113', 'individual112', 'individual111', 'individual110', 'individual109', 'individual108', 'individual107', 'individual106', 'individual105', 'individual104', 'individual103', 'individual102', 'individual101', 'individual100', 'individual99', 'individual98', 'individual97', 'individual96', 'individual95', 'individual94', 'individual93', 'individual92', 'individual91', 'individual90', 'individual89', 'individual88', 'individual87', 'individual86', 'individual85', 'individual84', 'individual83', 'individual82', 'individual81', 'individual80', 'individual79', 'individual78', 'individual77', 'individual76', 'individual75', 'individual74']	1	170	0	0	170
64	Vanakoski1996	midazolam, erythromycin, grapefruit juice, 1-hydroxymidazolam, triazolam	Y D	Y D	12	120	[{'count': 120, 'name': 'all'}, {'count': 49, 'name': 'study1'}, {'count': 12, 'name': 'study1_MID_water'}, {'count': 13, 'name': 'study1_MID_GRAP'}, {'count': 12, 'name': 'study1_water'}, {'count': 12, 'name': 'study1_GRAP'}, {'count': 57, 'name': 'study2'}, {'count': 15, 'name': 'study2_placebo'}, {'count': 14, 'name': 'study2_TRZ'}, {'count': 13, 'name': 'study2_TRZ_GRAP'}, {'count': 15, 'name': 'study2_MID'}, {'count': 6, 'name': 'study3'}]	120	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08', 'p09', 'p10', 'p11', 'p12', 'p13', 'p14', 'p15', 'p16', 'p17', 'p18', 'p19', 'p20', 'p21', 'p22', 'p23', 'p24', 'p25', 'p26', 'p27', 'p28', 'p29', 'p30', 'p31', 'p32', 'p33', 'p34', 'p35', 'p36', 'p37', 'p38', 'p39', 'p40', 'p41', 'p42', 'p43', 'p44', 'p45', 'p46', 'p47', 'p48', 'p49', 'p50', 'p51', 'p52', 'p53', 'p54', 'p55', 'p56', 'p57', 'p58', 'p59', 'p60', 'p61', 'p62', 'p63', 'p64', 'p65', 'p66', 'p67', 'p68', 'p69', 'p70', 'p71', 'p72', 'p73', 'p74', 'p75', 'p76', 'p77', 'p78', 'p79', 'p80', 'p81', 'p82', 'p83', 'p84', 'p85', 'p86', 'p87', 'p88', 'p89', 'p90', 'p91', 'p92', 'p93', 'p94', 'p95', 'p96', 'p97', 'p98', 'p99', 'p100', 'p101', 'p102', 'p103', 'p104', 'p105', 'p106', 'p107', 'p108', 'p109', 'p110', 'p111', 'p112', 'p113', 'p114', 'p115', 'p116', 'p117', 'p118', 'p119', 'p120']	5	151	109	18	169
70	Chen1996	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate, watercress	J B	J B, M K	6	10	[{'count': 10, 'name': 'all'}, {'count': 7, 'name': 'Group A,Group B'}, {'count': 7, 'name': 'Group A,Group C'}, {'count': 4, 'name': 'Group A'}, {'count': 3, 'name': 'Group B'}, {'count': 3, 'name': 'Group C'}]	0		2	148	70	20	168
104	Volak2013	curcuminoids, flurbiprofen, midazolam, paracetamol, 1-hydroxymidazolam, piperine, paracetamol glucuronide, paracetamol sulfate, 4-hydroxyflurbiprofen	J B	J B, M K	1	8	[{'count': 8, 'name': 'all'}]	0		5	152	98	14	166
2	Greenblatt1986	cimetidine, ranitidine, midazolam	Y D	Y D, M K	3	14	[{'count': 14, 'name': 'all'}, {'count': 8, 'name': 'iv'}, {'count': 6, 'name': 'oral'}]	86	['or1', 'RAN12_or', 'RAN11_or', 'RAN10_or', 'RAN9_or', 'RAN8_or', 'RAN7_or', 'CIM12_or', 'CIM11_or', 'CIM10_or', 'CIM9_or', 'CIM8_or', 'CIM7_or', 'C12_or', 'C11_or', 'C10_or', 'C9_or', 'C8_or', 'C7_or', 'RAN6_or', 'RAN5_or', 'RAN4_or', 'RAN3_or', 'RAN2_or', 'RAN1_or', 'CIM6_or', 'CIM5_or', 'CIM4_or', 'CIM3_or', 'CIM2_or', 'CIM1_or', 'C6_or', 'C5_or', 'C4_or', 'C3_or', 'C2_or', 'C1_or', 'iv1', 'RAN16_iv', 'RAN15_iv', 'RAN14_iv', 'RAN13_iv', 'RAN12_iv', 'RAN11_iv', 'RAN10_iv', 'RAN9_iv', 'CIM16_iv', 'CIM15_iv', 'CIM14_iv', 'CIM13_iv', 'CIM12_iv', 'CIM11_iv', 'CIM10_iv', 'CIM9_iv', 'C16_iv', 'C15_iv', 'C14_iv', 'C13_iv', 'C12_iv', 'C11_iv', 'C10_iv', 'C9_iv', 'RAN8_iv', 'RAN7_iv', 'RAN6_iv', 'RAN5_iv', 'RAN4_iv', 'RAN3_iv', 'RAN2_iv', 'RAN1_iv', 'CIM8_iv', 'CIM7_iv', 'CIM6_iv', 'CIM5_iv', 'CIM4_iv', 'CIM3_iv', 'CIM2_iv', 'CIM1_iv', 'C8_iv', 'C7_iv', 'C6_iv', 'C5_iv', 'C4_iv', 'C3_iv', 'C2_iv', 'C1_iv']	4	156	48	6	162
48	Sonne1988	paracetamol mercapturate, paracetamol, codeine, paracetamol glucuronide, paracetamol sulfate	J B	J B, M K	1	9	[{'count': 9, 'name': 'all'}]	9	['volunteer9', 'volunteer8', 'volunteer7', 'volunteer6', 'volunteer5', 'volunteer4', 'volunteer3', 'volunteer2', 'volunteer1']	3	160	0	0	160
0	Mandema1992	1-hydroxymidazolam, midazolam	Y D	Y D, M K	1	8	[{'count': 8, 'name': 'all'}]	8	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08']	3	155	38	5	160
9	Klotz1982	midazolam	Y D	Y D, M K	1	6	[{'count': 6, 'name': 'all'}]	30	['p01', 'p02', 'p03', 'p04', 'p05', 'p06', 'p07', 'p08', 'p09', 'p10', 'p11', 'p12', 'p13', 'p14', 'p15', 'p16', 'p17', 'p18', 'p19', 'p20', 'p21', 'p22', 'p23', 'p24', 'p25', 'p26', 'p27', 'p28', 'p29', 'p30']	6	153	48	6	159
103	Triggs1975	sulfamethizole, paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate, sulfamethizole acetylated, phenylbutazone	J B	M K, J B	3	13	[{'count': 13, 'name': 'all'}, {'count': 6, 'name': 'control'}, {'count': 7, 'name': 'elderly'}]	14	['EW', 'JC2', 'LF', 'FB', 'JC1', 'JB', 'OW', 'PV', 'BM', 'JP', 'RN', 'DM', 'GM', 'ET']	4	154	24	3	157
89	Lowenthal1976	paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	M K, J B	4	13	[{'count': 13, 'name': 'all'}, {'count': 5, 'name': 'surgically anephric patients'}, {'count': 5, 'name': 'physiologically anephric patients'}, {'count': 3, 'name': 'control'}]	13	['subject13', 'subject12', 'subject11', 'subject10', 'subject9', 'subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	1	146	42	9	155
1	Gorski2003	rifampicin, midazolam, 15N3-midazolam	Y D	Y D, M K	7	52	[{'count': 52, 'name': 'all'}, {'count': 24, 'name': 'elder'}, {'count': 10, 'name': 'elder_men'}, {'count': 14, 'name': 'elder_women'}, {'count': 28, 'name': 'young'}, {'count': 14, 'name': 'young_men'}, {'count': 14, 'name': 'young_women'}]	0		4	144	24	4	148
77	Forrest1979	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	5	23	[{'count': 23, 'name': 'all'}, {'count': 15, 'name': 'patients'}, {'count': 8, 'name': 'mild liver disease'}, {'count': 7, 'name': 'severe liver disease'}, {'count': 8, 'name': 'control'}]	15	['patient15', 'patient14', 'patient13', 'patient12', 'patient11', 'patient10', 'patient9', 'patient8', 'patient7', 'patient6', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	1	132	96	12	144
75	Divoll1982b	paracetamol	J B	J B, M K	3	24	[{'count': 24, 'name': 'all'}, {'count': 12, 'name': 'young'}, {'count': 12, 'name': 'elderly'}]	49	['A', 'Individual 48', 'Individual 47', 'Individual 46', 'Individual 45', 'Individual 44', 'Individual 43', 'Individual 42', 'Individual 41', 'Individual 40', 'Individual 39', 'Individual 38', 'Individual 37', 'Individual 36', 'Individual 35', 'Individual 34', 'Individual 33', 'Individual 32', 'Individual 31', 'Individual 30', 'Individual 29', 'Individual 28', 'Individual 27', 'Individual 26', 'Individual 25', 'Individual 24', 'Individual 23', 'Individual 22', 'Individual 21', 'Individual 20', 'Individual 19', 'Individual 18', 'Individual 17', 'Individual 16', 'Individual 15', 'Individual 14', 'Individual 13', 'Individual 12', 'Individual 11', 'Individual 10', 'Individual 9', 'Individual 8', 'Individual 7', 'Individual 6', 'Individual 5', 'Individual 4', 'Individual 3', 'Individual 2', 'Individual 1']	4	140	12	4	144
59	Smith1981	midazolam	Y D	Y D, M K	1	6	[{'count': 6, 'name': 'all'}]	6	['SM', 'BH', 'JF', 'DW', 'MC', 'GW']	3	136	24	3	139
92	Sahajwalla1991	paracetamol	J B	M K, J B, J G	1	8	[{'count': 8, 'name': 'all'}]	0		24	128	48	8	136
87	Miners1986	paracetamol glucuronide, paracetamol sulfate, paracetamol glutathione, paracetamol	J B	M K, J B	3	20	[{'count': 20, 'name': 'all'}, {'count': 8, 'name': 'pregnant'}, {'count': 12, 'name': 'control'}]	20	['control12', 'control11', 'control10', 'control9', 'control8', 'control7', 'control6', 'control5', 'control4', 'control3', 'control2', 'control1', 'pregnant8', 'pregnant7', 'pregnant6', 'pregnant5', 'pregnant4', 'pregnant3', 'pregnant2', 'pregnant1']	1	132	0	0	132
91	Prescott1989	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	5	23	[{'count': 23, 'name': 'all'}, {'count': 10, 'name': 'control'}, {'count': 13, 'name': 'patients'}, {'count': 7, 'name': 'chronic renal failure'}, {'count': 6, 'name': 'end stage renal failure'}]	23	['23', '22', '21', '20', '19', '18', '17', '16', '15', '14', '13', '12', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1']	1	122	64	9	131
74	Ganetsky2013	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	1	15	[{'count': 15, 'name': 'all'}]	0		2	112	80	10	122
23	Itoh2000	paracetamol glucuronide, paracetamol sulfate, paracetamol, ranitidine	J B	J B, M K	1	5	[{'count': 5, 'name': 'all'}]	0		3	109	92	13	122
66	Clements1978	pentazocine, meperidine, naloxone, paracetamol	J B	M K, J B	4	8	[{'count': 8, 'name': 'all'}, {'count': 4, 'name': 'meperidine study'}, {'count': 4, 'name': 'pentazocine study'}, {'count': 4, 'name': 'pentazocine, naloxone study'}]	8	['subject8', 'subject7', 'subject6', 'subject5', 'subject4', 'subject3', 'subject2', 'subject1']	4	112	30	10	122
20	Itoh2002	paracetamol glucuronide, nizatidine, paracetamol sulfate, paracetamol	J B	J B, M K	1	5	[{'count': 5, 'name': 'all'}]	0		3	101	74	11	112
10	Bannwarth1992	paracetamol, propacetamol	J B	M K, J B	12	43	[{'count': 43, 'name': 'all'}, {'count': 3, 'name': 'group1'}, {'count': 2, 'name': 'group2'}, {'count': 4, 'name': 'group3'}, {'count': 5, 'name': 'group4'}, {'count': 4, 'name': 'group5'}, {'count': 4, 'name': 'group6'}, {'count': 4, 'name': 'group7'}, {'count': 4, 'name': 'group8'}, {'count': 5, 'name': 'group9'}, {'count': 3, 'name': 'group10'}, {'count': 5, 'name': 'group11'}]	0		1	90	66	22	112
86	Miners1988	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	J B, M K	3	16	[{'count': 16, 'name': 'all'}, {'count': 8, 'name': 'young subjects'}, {'count': 8, 'name': 'elderly subjects'}]	16	['E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'Y8', 'Y7', 'Y6', 'Y5', 'Y4', 'Y3', 'Y2', 'Y1']	1	108	0	0	108
22	Heading1973	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	3	14	[{'count': 14, 'name': 'all'}, {'count': 5, 'name': 'decreased gastric emptying'}, {'count': 9, 'name': 'normal gastric emptying'}]	14	['patient14', 'patient13', 'patient12', 'patient11', 'patient10', 'patient9', 'patient8', 'patient7', 'patient6', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	1	108	0	0	108
5	Allonen1981	midazolam	Y D	Y D, M K	1	6	[{'count': 6, 'name': 'all'}]	6	['GZ', 'FS', 'UK', 'TF', 'HA', 'WS']	3	105	16	2	107
29	Kamali1993a	paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	M K, J B	3	19	[{'count': 19, 'name': 'all'}, {'count': 9, 'name': 'control'}, {'count': 10, 'name': 'patients'}]	19	['control9', 'control8', 'control7', 'control6', 'control5', 'control4', 'control3', 'control2', 'control1', 'patient10', 'patient9', 'patient8', 'patient7', 'patient6', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	1	105	0	0	105
50	Shinoda2007	paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate, paracetamol	J B	J B, M K	3	10	[{'count': 10, 'name': 'all'}, {'count': 5, 'name': 'volunteers'}, {'count': 5, 'name': 'chronic_pain'}]	10	['volunteer5', 'volunteer4', 'volunteer3', 'volunteer2', 'volunteer1', 'patient5', 'patient4', 'patient3', 'patient2', 'patient1']	3	98	32	4	102
80	Divoll1982c	paracetamol	J B	M K, J B	5	32	[{'count': 32, 'name': 'all'}, {'count': 8, 'name': 'young men'}, {'count': 8, 'name': 'young women'}, {'count': 8, 'name': 'elderly men'}, {'count': 8, 'name': 'elderly women'}]	66	['individual66', 'individual65', 'individual64', 'individual63', 'individual62', 'individual61', 'individual60', 'individual59', 'individual58', 'individual57', 'individual56', 'individual55', 'individual54', 'individual53', 'individual52', 'individual51', 'individual50', 'individual49', 'individual48', 'individual47', 'individual46', 'individual45', 'individual44', 'individual43', 'individual42', 'individual41', 'individual40', 'individual39', 'individual38', 'individual37', 'individual36', 'individual35', 'individual34', 'individual33', 'individual32', 'individual31', 'individual30', 'individual29', 'individual28', 'individual27', 'individual26', 'individual25', 'individual24', 'individual23', 'individual22', 'individual21', 'individual20', 'individual19', 'individual18', 'individual17', 'individual16', 'individual15', 'individual14', 'individual13', 'individual12', 'individual11', 'individual10', 'individual9', 'individual8', 'individual7', 'individual6', 'individual5', 'individual4', 'individual3', 'individual2', 'individual1']	1	100	16	2	102
68	Critchley2005	paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate, paracetamol	M K	M K, D E, J G	3	20	[{'count': 20, 'name': 'all'}, {'count': 9, 'name': 'Caucasians'}, {'count': 11, 'name': 'Chinese'}]	0		1	91	59	8	99
30	Kim2011	imatinib, paracetamol glucuronide, paracetamol sulfate, paracetamol	J B	J B, M K	1	12	[{'count': 12, 'name': 'all'}]	0		2	91	41	6	97
19	Kamali1987	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	4	13	[{'count': 13, 'name': 'all'}, {'count': 6, 'name': 'urine study'}, {'count': 7, 'name': 'saliva study'}, {'count': 6, 'name': 'iv study'}]	0		8	92	32	4	96
55	Abernethy1982	paracetamol	J B	M K, J B	7	42	[{'count': 42, 'name': 'all'}, {'count': 21, 'name': 'obese'}, {'count': 7, 'name': 'obese men'}, {'count': 14, 'name': 'obese women'}, {'count': 21, 'name': 'control'}, {'count': 10, 'name': 'control men'}, {'count': 11, 'name': 'control women'}]	46	['indiviual1', 'indiviual2', 'indiviual3', 'indiviual4', 'indiviual5', 'indiviual6', 'indiviual7', 'indiviual8', 'indiviual9', 'indiviual10', 'indiviual11', 'indiviual12', 'indiviual13', 'indiviual14', 'indiviual15', 'indiviual16', 'indiviual17', 'indiviual18', 'indiviual19', 'indiviual20', 'indiviual21', 'indiviual22', 'indiviual23', 'indiviual24', 'indiviual25', 'indiviual26', 'indiviual27', 'indiviual28', 'indiviual29', 'indiviual30', 'indiviual31', 'indiviual32', 'indiviual33', 'indiviual34', 'indiviual35', 'indiviual36', 'indiviual37', 'indiviual38', 'indiviual39', 'indiviual40', 'indiviual41', 'indiviual42', 'indiviual43', 'indiviual44', 'indiviual45', 'indiviual46']	1	92	30	4	96
43	Prescott1968	paracetamol mercapturate, paracetamol, paracetamol glucuronide, paracetamol cysteine, paracetamol sulfate	J B	M K, J B	3	17	[{'count': 17, 'name': 'all'}, {'count': 8, 'name': 'paracetamol study'}, {'count': 9, 'name': 'phenacetin study'}]	8	['CW', 'BR', 'JJ', 'RB', 'DS', 'MG', 'LP', 'LS']	3	80	48	16	96
