	study	output_type	pk	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	time_unit_intervention	value_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	subject_type	subject_pk	('study', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('sex', 'unit')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('smoking', 'choice')	('smoking', 'count')	('smoking', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('medication', 'choice')	('medication', 'count')	('general', 'group_count')	('ethnicity', 'choice')	('ethnicity', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('disease', 'choice')	('disease', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('bmi', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('phenotype', 'choice')	('phenotype', 'count')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('medication type', 'choice')	('medication type', 'count')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('height', 'value')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('obese', 'choice')	('obese', 'count')	('obese', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')	('caffeine amount (beverages)', 'value')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine', 'choice')	('caffeine', 'count')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('genetics', 'choice')	('genetics', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')
16	Beach1986	outputs	28276	plasma	caffeine	thalf	h	1426	2808.0	3.7														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2808	Beach1986	4	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
17	Beach1986	outputs	28318	plasma	caffeine	vd	l	1426	2808.0	53.0														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2808	Beach1986	4	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
18	Beach1986	outputs	28360	plasma	caffeine	cmax	µg/ml	1426	2808.0	3.1														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2808	Beach1986	4	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
19	Beach1986	outputs	28402	plasma	caffeine	tmax	h	1426	2808.0	0.67														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2808	Beach1986	4	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
20	Beach1986	outputs	28235	plasma	caffeine	clearance	l/h	1426	2809.0	8.7														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2809	Beach1986	5	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
21	Beach1986	outputs	28277	plasma	caffeine	thalf	h	1426	2809.0	3.8														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2809	Beach1986	5	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
22	Beach1986	outputs	28319	plasma	caffeine	vd	l	1426	2809.0	47.8														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2809	Beach1986	5	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
23	Beach1986	outputs	28361	plasma	caffeine	cmax	µg/ml	1426	2809.0	3.2														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2809	Beach1986	5	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
24	Beach1986	outputs	28403	plasma	caffeine	tmax	h	1426	2809.0	1.0														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2809	Beach1986	5	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
25	Beach1986	outputs	28236	plasma	caffeine	clearance	l/h	1426	2810.0	10.3														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2810	Beach1986	6	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
26	Beach1986	outputs	28278	plasma	caffeine	thalf	h	1426	2810.0	4.2														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2810	Beach1986	6	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
27	Beach1986	outputs	28320	plasma	caffeine	vd	l	1426	2810.0	62.2														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2810	Beach1986	6	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
28	Beach1986	outputs	28362	plasma	caffeine	cmax	µg/ml	1426	2810.0	2.4														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2810	Beach1986	6	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
29	Beach1986	outputs	28404	plasma	caffeine	tmax	h	1426	2810.0	0.67														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2810	Beach1986	6	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
30	Beach1986	outputs	28237	plasma	caffeine	clearance	l/h	1426	2811.0	8.22														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2811	Beach1986	7	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
31	Beach1986	outputs	28279	plasma	caffeine	thalf	h	1426	2811.0	4.7														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2811	Beach1986	7	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
32	Beach1986	outputs	28321	plasma	caffeine	vd	l	1426	2811.0	50.4														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2811	Beach1986	7	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
33	Beach1986	outputs	28363	plasma	caffeine	cmax	µg/ml	1426	2811.0	4.4														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2811	Beach1986	7	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
34	Beach1986	outputs	28405	plasma	caffeine	tmax	h	1426	2811.0	0.5														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2811	Beach1986	7	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
35	Beach1986	outputs	28238	plasma	caffeine	clearance	l/h	1426	2812.0	8.46														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2812	Beach1986	8	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
36	Beach1986	outputs	28280	plasma	caffeine	thalf	h	1426	2812.0	4.3														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2812	Beach1986	8	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
37	Beach1986	outputs	28322	plasma	caffeine	vd	l	1426	2812.0	52.8														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2812	Beach1986	8	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
38	Beach1986	outputs	28364	plasma	caffeine	cmax	µg/ml	1426	2812.0	3.6														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2812	Beach1986	8	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
39	Beach1986	outputs	28406	plasma	caffeine	tmax	h	1426	2812.0	0.83														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2812	Beach1986	8	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
40	Beach1986	outputs	28239	plasma	caffeine	clearance	l/h	1426	2813.0	10.8														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2813	Beach1986	9	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
41	Beach1986	outputs	28281	plasma	caffeine	thalf	h	1426	2813.0	3.6														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2813	Beach1986	9	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
42	Beach1986	outputs	28323	plasma	caffeine	vd	l	1426	2813.0	56.5														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2813	Beach1986	9	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
43	Beach1986	outputs	28365	plasma	caffeine	cmax	µg/ml	1426	2813.0	2.9														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2813	Beach1986	9	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
44	Beach1986	outputs	28407	plasma	caffeine	tmax	h	1426	2813.0	0.83														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2813	Beach1986	9	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
45	Beach1986	outputs	28240	plasma	caffeine	clearance	l/h	1426	2814.0	10.4														dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					individual	2814	Beach1986	10	homo sapiens	21	Y	10.0	M	1		10.0		35.0			20.0			yr		N	1												('methylxanthine', 'alcohol')	(21, 21)						N	21.0				Y	21.0																																																																																																																																																																																								
