	raw_pk	tissue	interventions	unit	substance_name	pktype	calculated	individual_pk	value	group_pk	group_count	mean	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	max	min	median	raw_pk_intervention	category	route	unit_intervention	substance_name_intervention	value_intervention	application	time_intervention	time_unit_intervention	form	choice	min_intervention	max_intervention	se_intervention	study	subject_pk	subject_name	('general', 'group_count')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('medication', 'choice')	('medication', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('smoking', 'choice')	('smoking', 'count')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('CYP2D6 phenotype', 'choice')	('CYP2D6 phenotype', 'count')	('glucose', 'count')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'sd')	('HbA1c', 'se')	('HbA1c', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('disease duration', 'count')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('insulin', 'count')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('triglyceride', 'count')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('LDL-H', 'count')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('LDL-C', 'count')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('cholesterol', 'count')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('percent fat', 'count')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('fructosamine', 'count')	('fructosamine', 'mean')	('fructosamine', 'sd')	('fructosamine', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('genetics', 'choice')	('genetics', 'count')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'unit')	('medication type', 'choice')	('medication type', 'count')	('obese', 'choice')	('obese', 'count')	('creatinine_clearance', 'count')	('creatinine_clearance', 'max')	('creatinine_clearance', 'mean')	('creatinine_clearance', 'min')	('creatinine_clearance', 'unit')	('glucagon', 'count')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'unit')	('lean body mass', 'count')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('fat weight', 'count')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
11	44738	serum	1322	gram / liter	morphine-6-glucuronide	cmax	True			613.0	12.0	2.8600000000000004e-05	3883.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
12	44739	serum	1322	1 / minute	morphine-6-glucuronide	kel	True			613.0	12.0	0.00215	3883.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
13	44491	serum	1322	hour	codeine-6-glucuronide	tmax	False			613.0	12.0	1.13									1.35	0.89		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
14	44507	serum	1322	gram / liter	codeine-6-glucuronide	cmax	False			613.0	12.0	0.0025									0.00275	0.00225		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
15	44553	serum	1322	liter / hour	norcodeine	clearance	False			613.0	12.0	6.12									8.16	4.15		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
16	44576	serum	1322	liter / hour	codeine-6-glucuronide	clearance_renal	False			613.0	12.0	5.32									6.06	4.58		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
17	44580	serum	1322	liter / hour	morphine-6-glucuronide	clearance_renal	False			613.0	12.0	7.32									8.16	6.48		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
18	44581	serum	1322	liter / hour	normorphine	clearance_renal	False			613.0	12.0	7.38									8.46	6.36		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
19	44603	urine	1322	none	codeine	recovery	False			613.0	12.0	0.0374									0.0415	0.0333		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
20	44608	urine	1322	none	morphine-3-glucuronide	recovery	False			613.0	12.0	0.044									0.0599	0.0281		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
21	44641	serum	1322	liter / hour	codeine	clearance	True			613.0	12.0	126.0	3869.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
22	44643	serum	1322	1 / minute	codeine	kel	True			613.0	12.0	0.00247	3869.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
23	44645	serum	1322	liter	codeine	vd	True			613.0	12.0	850.0	3869.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
24	44666	serum	1322	gram / liter	codeine-6-glucuronide	cmax	True			613.0	12.0	0.00237	3871.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
25	44740	serum	1322	hour	morphine-6-glucuronide	thalf	True			613.0	12.0	5.38	3883.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
26	44493	serum	1322	hour	morphine	tmax	False			613.0	12.0	0.63									0.8	0.45		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
27	44523	serum	1322	hour	codeine-6-glucuronide	thalf	False			613.0	12.0	3.54									3.68	3.39		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
28	44539	serum	1322	gram * hour / liter	norcodeine	auc_inf	False			613.0	12.0	9.76e-05									0.000122	7.329999999999999e-05		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
29	44543	serum	1322	gram * hour / liter	normorphine	auc_inf	False			613.0	12.0	0.000147									0.00018600000000000002	0.00010700000000000001		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
30	44556	serum	1322	liter / hour	normorphine	clearance	False			613.0	12.0	185.0									345.0	25.9		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
31	44579	serum	1322	liter / hour	morphine-3-glucuronide	clearance_renal	False			613.0	12.0	5.29									6.0	4.57		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
32	44605	urine	1322	none	norcodeine	recovery	False			613.0	12.0	0.0176									0.0218	0.0135		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
33	44606	urine	1322	none	norcodeine-glucuronide	recovery	False			613.0	12.0	0.0387									0.0473	0.0301		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
34	44607	urine	1322	none	morphine	recovery	False			613.0	12.0	0.0022									0.0032	0.0013		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
35	44610	urine	1322	none	normorphine	recovery	False			613.0	12.0	0.0156									0.0196	0.0191		1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
36	44665	serum	1322	liter / hour	codeine-6-glucuronide	clearance	True			613.0	12.0	6.08	3871.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
37	44668	serum	1322	hour	codeine-6-glucuronide	thalf	True			613.0	12.0	5.24	3871.0											1321	dosing	oral	gram	codeine phosphate	0.1	single dose	0.0	hr	tablet					Ammon2002	613	all	12	homo sapiens	12	Y	12.0	M	12	12.0	42.0		31.0	26.0			yr	N	12								12.0	95.0		77.0	63.0			kilogram							12.0	28.4		23.9	19.9			kilogram / meter ** 2								EM	12.0																																																																																																						CYP2D6 wild type	12.0																																												
