	unit	allowed_users	tissue	measurement_type	access	raw_pk	interventions	substance	calculated	group_count	group_name	group_pk	mean	individual_name	individual_pk	value	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	min	max	median	measurement_type_intervention	access_intervention	allowed_users_intervention	raw_pk_intervention	substance_intervention	application	route	unit_intervention	value_intervention	form	time_intervention	time_unit_intervention	choice	sd_intervention	max_intervention	min_intervention	study	subject_pk	subject_name	('general', 'group_pk')	('species', 'choice')	('species', 'count')	('sex', 'choice')	('sex', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('smoking', 'choice')	('smoking', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('disease', 'choice')	('disease', 'count')	('disease', 'unit')	('disease', 'value')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('fasting (duration)', 'count')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('fasting', 'choice')	('fasting', 'count')	('kidney function test', 'choice')	('kidney function test', 'count')	('body position', 'choice')	('body position', 'count')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')
10	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	concentration	public	23	29	midazolam						iv1	55.0	['8.57e-05', '5.10e-05', '4.40e-05', '3.77e-05', '2.70e-05', '2.34e-05', '1.68e-05', '1.54e-05', '7.08e-06', '5.23e-06', '2.39e-06', '1.19e-06']		hr	['2.41e-01', '4.61e-01', '7.24e-01', '9.43e-01', '1.47e+00', '1.97e+00', '2.48e+00', '3.00e+00', '4.98e+00', '6.25e+00', '8.05e+00', '1.01e+01']				[{'pk': 856}, {'pk': 855}, {'pk': 854}, {'pk': 853}, {'pk': 852}, {'pk': 851}, {'pk': 850}, {'pk': 849}, {'pk': 848}, {'pk': 847}, {'pk': 846}, {'pk': 845}, {'pk': 844}, {'pk': 843}, {'pk': 842}, {'pk': 841}]	/media/data/Greenblatt1986_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	55	iv1	11	homo sapiens	14	NR	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
11	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	649	29	midazolam	False					C9_iv	31.0	0.9690000000000001												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	31	C9_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
12	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	654	29	midazolam	False					C14_iv	36.0	0.455												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	36	C14_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
13	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	655	29	midazolam	False					C15_iv	37.0	0.429												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	37	C15_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
14	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	656	29	midazolam	False					C16_iv	38.0	0.318												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	38	C16_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
15	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	626	29	midazolam	False					C2_iv	8.0	2.63												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	8	C2_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
16	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	629	29	midazolam	False					C5_iv	11.0	1.89												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	11	C5_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
17	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	630	29	midazolam	False					C6_iv	12.0	1.81												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	12	C6_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
18	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	627	29	midazolam	False					C3_iv	9.0	2.37												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	9	C3_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
19	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	651	29	midazolam	False					C11_iv	33.0	0.809												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	33	C11_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
20	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	652	29	midazolam	False					C12_iv	34.0	0.6990000000000001												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	34	C12_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
21	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	625	29	midazolam	False					C1_iv	7.0	3.46												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	7	C1_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
22	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	628	29	midazolam	False					C4_iv	10.0	2.19												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	10	C4_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
23	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	631	29	midazolam	False					C7_iv	13.0	1.86												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	13	C7_iv	11	homo sapiens	14	M	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
24	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	632	29	midazolam	False					C8_iv	14.0	1.79												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	27	midazolam	single dose	iv	gram	0.005	solution	0.0	hr					Greenblatt1986	14	C8_iv	11	homo sapiens	14	F	1	Y	14.0	8.0	46.0		22.0			yr											N	14																																																																																									
25	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	723	30	midazolam	False					C3_or	58.0	3.12												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	58	C3_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
26	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	742	30	midazolam	False					C10_or	77.0	1.06												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	77	C10_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
27	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	auc_inf	public	890	30	midazolam	True					or1	92.0	0.000139	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
28	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	cmax	public	892	30	midazolam	True					or1	92.0	7.36e-05	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
29	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	auc_end	public	889	30	midazolam	True					or1	92.0	0.00013700000000000002	32.0	hr	9.990882000000001									dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
30	liter / hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	891	30	midazolam	True					or1	92.0	93.4	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
31	liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	vd	public	895	30	midazolam	True					or1	92.0	212.0	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
32	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	894	30	midazolam	True					or1	92.0	1.57	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
33	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	tmax	public	896	30	midazolam	True					or1	92.0	0.6759999999999999	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
34	1 / minute	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	kel	public	893	30	midazolam	True					or1	92.0	0.00734	32.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
35	gram / liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	concentration	public	29	30	midazolam						or1	92.0	['2.52e-05', '7.36e-05', '6.43e-05', '3.86e-05', '2.97e-05', '2.67e-05', '1.85e-05', '1.21e-05', '5.74e-06', '4.48e-06', '2.01e-06', '1.20e-06']		hr	['4.09e-01', '6.76e-01', '9.29e-01', '1.40e+00', '1.91e+00', '2.40e+00', '2.90e+00', '3.93e+00', '4.92e+00', '5.85e+00', '7.91e+00', '9.99e+00']				[{'pk': 904}, {'pk': 903}, {'pk': 902}, {'pk': 901}, {'pk': 900}, {'pk': 899}, {'pk': 898}, {'pk': 897}, {'pk': 896}, {'pk': 895}, {'pk': 894}, {'pk': 893}, {'pk': 892}, {'pk': 891}, {'pk': 890}, {'pk': 889}]	/media/data/Greenblatt1986_Fig3.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	92	or1	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
36	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	739	30	midazolam	False					C7_or	74.0	1.47												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	74	C7_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
37	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	740	30	midazolam	False					C8_or	75.0	1.3												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	75	C8_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
38	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	721	30	midazolam	False					C1_or	56.0	4.49												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	56	C1_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
39	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	726	30	midazolam	False					C6_or	61.0	1.6												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	61	C6_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
40	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	743	30	midazolam	False					C11_or	78.0	0.5479999999999999												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	78	C11_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
41	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	725	30	midazolam	False					C5_or	60.0	1.89												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	60	C5_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
42	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	741	30	midazolam	False					C9_or	76.0	1.18												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	76	C9_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
43	liter / hour / kilogram	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	clearance	public	744	30	midazolam	False					C12_or	79.0	0.268												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	79	C12_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
44	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	722	30	midazolam	False					C2_or	57.0	4.36												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	57	C2_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
45	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	724	30	midazolam	False					C4_or	59.0	2.61												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	28	midazolam	single dose	oral	gram	0.015	tablet	0.0	hr					Greenblatt1986	59	C4_or	12	homo sapiens	14	M	1	Y	14.0																		N	14																																																													6.0	0.33299999999999996	day																										
46	liter	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	vd_ss	public	1896	104	1-hydroxymidazolam	False					p01	184.0	49.0												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	102	1-hydroxymidazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Mandema1992	184	p01	24	homo sapiens	8	('M', 'F')	(4, 4)	Y	8.0	8.0		22.0		1.0		yr		1.0							kilogram	64.0			Y	8.0	N	8																																												8.0	0.33299999999999996	day														8.0	0.33299999999999996	caffeine	day																						
47	dimensionless	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	fraction_unbound	public	1898	104	1-hydroxymidazolam	False					p01	184.0	0.0853												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	102	1-hydroxymidazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Mandema1992	184	p01	24	homo sapiens	8	('M', 'F')	(4, 4)	Y	8.0	8.0		22.0		1.0		yr		1.0							kilogram	64.0			Y	8.0	N	8																																												8.0	0.33299999999999996	day														8.0	0.33299999999999996	caffeine	day																						
48	hour	[{'username': 'mkoenig'}, {'username': 'yduport'}]	plasma	thalf	public	1897	104	1-hydroxymidazolam	False					p01	184.0	1.07												dosing	public	[{'username': 'mkoenig'}, {'username': 'yduport'}]	102	1-hydroxymidazolam	single dose	iv	gram / kilogram	0.00015	solution	0.0	hr					Mandema1992	184	p01	24	homo sapiens	8	('M', 'F')	(4, 4)	Y	8.0	8.0		22.0		1.0		yr		1.0							kilogram	64.0			Y	8.0	N	8																																												8.0	0.33299999999999996	day														8.0	0.33299999999999996	caffeine	day																						
